시도별,성별,1999. 06 월,1999. 07 월,1999. 08 월,1999. 09 월,1999. 10 월,1999. 11 월,1999. 12 월,2000. 01 월,2000. 02 월,2000. 03 월,2000. 04 월,2000. 05 월,2000. 06 월,2000. 07 월,2000. 08 월,2000. 09 월,2000. 10 월,2000. 11 월,2000. 12 월,2001. 01 월,2001. 02 월,2001. 03 월,2001. 04 월,2001. 05 월,2001. 06 월,2001. 07 월,2001. 08 월,2001. 09 월,2001. 10 월,2001. 11 월,2001. 12 월,2002. 01 월,2002. 02 월,2002. 03 월,2002. 04 월,2002. 05 월,2002. 06 월,2002. 07 월,2002. 08 월,2002. 09 월,2002. 10 월,2002. 11 월,2002. 12 월,2003. 01 월,2003. 02 월,2003. 03 월,2003. 04 월,2003. 05 월,2003. 06 월,2003. 07 월,2003. 08 월,2003. 09 월,2003. 10 월,2003. 11 월,2003. 12 월,2004. 01 월,2004. 02 월,2004. 03 월,2004. 04 월,2004. 05 월,2004. 06 월,2004. 07 월,2004. 08 월,2004. 09 월,2004. 10 월,2004. 11 월,2004. 12 월,2005. 01 월,2005. 02 월,2005. 03 월,2005. 04 월,2005. 05 월,2005. 06 월,2005. 07 월,2005. 08 월,2005. 09 월,2005. 10 월,2005. 11 월,2005. 12 월,2006. 01 월,2006. 02 월,2006. 03 월,2006. 04 월,2006. 05 월,2006. 06 월,2006. 07 월,2006. 08 월,2006. 09 월,2006. 10 월,2006. 11 월,2006. 12 월,2007. 01 월,2007. 02 월,2007. 03 월,2007. 04 월,2007. 05 월,2007. 06 월,2007. 07 월,2007. 08 월,2007. 09 월,2007. 10 월,2007. 11 월,2007. 12 월,2008. 01 월,2008. 02 월,2008. 03 월,2008. 04 월,2008. 05 월,2008. 06 월,2008. 07 월,2008. 08 월,2008. 09 월,2008. 10 월,2008. 11 월,2008. 12 월,2009. 01 월,2009. 02 월,2009. 03 월,2009. 04 월,2009. 05 월,2009. 06 월,2009. 07 월,2009. 08 월,2009. 09 월,2009. 10 월,2009. 11 월,2009. 12 월,2010. 01 월,2010. 02 월,2010. 03 월,2010. 04 월,2010. 05 월,2010. 06 월,2010. 07 월,2010. 08 월,2010. 09 월,2010. 10 월,2010. 11 월,2010. 12 월,2011. 01 월,2011. 02 월,2011. 03 월,2011. 04 월,2011. 05 월,2011. 06 월,2011. 07 월,2011. 08 월,2011. 09 월,2011. 10 월,2011. 11 월,2011. 12 월,2012. 01 월,2012. 02 월,2012. 03 월,2012. 04 월,2012. 05 월,2012. 06 월,2012. 07 월,2012. 08 월,2012. 09 월,2012. 10 월,2012. 11 월,2012. 12 월,2013. 01 월,2013. 02 월,2013. 03 월,2013. 04 월,2013. 05 월,2013. 06 월,2013. 07 월,2013. 08 월,2013. 09 월,2013. 10 월,2013. 11 월,2013. 12 월,2014. 01 월,2014. 02 월,2014. 03 월,2014. 04 월,2014. 05 월,2014. 06 월,2014. 07 월,2014. 08 월,2014. 09 월,2014. 10 월,2014. 11 월,2014. 12 월,2015. 01 월,2015. 02 월,2015. 03 월,2015. 04 월,2015. 05 월,2015. 06 월,2015. 07 월,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월
계(남),남자,13051000,13072000,13016000,13061000,13108000,13083000,12984000,12806100,12768900,12909000,13025000,13086700,13074500,13201100,13113800,13146200,13204300,13167300,13062300,12801500,12830500,12988500,13222100,13295100,13314700,13374100,13278300,13304300,13351400,13361100,13253300,13181900,13200300,13308900,13516900,13537300,13563700,13653200,13522500,13549500,13599700,13589500,13514800,13377700,13383400,13476400,13575400,13653800,13661500,13738700,13581000,13616600,13724500,13740700,13680300,13590500,13600800,13756600,13823200,13852200,13892600,13909500,13736500,13839000,13944500,13933200,13852800,13684600,13670100,13838200,13947000,13987400,14017400,14011400,13842400,13850600,13932900,13939100,13790300,13680000,13714200,13940000,14055500,14123900,14139200,14170400,14064800,14070300,14139700,14156300,14000700,13926000,13918400,14136600,14275300,14350300,14376300,14390100,14286700,14272300,14345500,14350600,14175500,14052100,14037900,14253800,14411700,14491200,14491900,14526200,14430100,14357300,14410900,14438300,14227500,14089500,14093400,14297700,14464700,14565600,14686500,14599800,14496800,14498900,14488500,14535900,14333300,14322400,14304200,14434700,14654900,14753100,14753600,14838300,14662300,14654200,14749800,14711400,14620100,14392800,14589000,14835100,14918100,14986000,15043200,15019400,14950100,14847300,14997700,15002100,14851100,14675100,14808000,14959500,15140100,15245300,15243400,15254800,15154200,15178200,15202700,15135300,14929300,14834400,14843500,15037400,15251800,15356500,15393000,15419700,15330500,15363500,15417900,15429200,15264800,15259100,15387400,15450900,15693500,15669800,15697500,15771300,15720500,15701000,15716400,15708900,15509800,15421800,15534900,15610900,15787300,15869000,15866800,15920600,15787500,15780200,15777700,15751000,15626500,15480100,15595200,15746400,15816200,15911900,15962400,16010500,15981700,15949700,15941400,15904200,15727200,15583400,15785800,15919400,16068300,16104000,16132800,16125900,16029300,16040200,16014700,16013400,15885900,15760500,15785000,16004700,16073100,16145800,16087600,16085400,16044700,16048100,16036800,16055600,15898200,15793200,15893100,16072900
계(여),여자,9037000,8989000,8880000,9093000,9169000,9101000,8829000,8635700,8689200,8900700,9079200,9250000,9271200,9307600,9173500,9321600,9368800,9267100,8981900,8809000,8821300,9098000,9400300,9514200,9479700,9467300,9328200,9494400,9552100,9530300,9266000,9124300,9177100,9378600,9630400,9710700,9697300,9650500,9502600,9644800,9675500,9537400,9320400,9098700,9049400,9282800,9455000,9587200,9604800,9631900,9443400,9544700,9623200,9603000,9380200,9350500,9458500,9660000,9842900,9859800,9881000,9858900,9637300,9896100,9896000,9805200,9644900,9456800,9457200,9711300,9876300,10008000,10010700,9979700,9777000,10012700,10081700,10010500,9726500,9666600,9659400,9843400,10042500,10161800,10204000,10139300,9962300,10098100,10198200,10166700,9887700,9783300,9741300,9945700,10178400,10298100,10325600,10277200,10060200,10214800,10297300,10292800,9997700,9868800,9855600,10055100,10287000,10413700,10452200,10360500,10163200,10307100,10376300,10333200,10005700,9817800,9769100,9958000,10184200,10281200,10427700,10338600,10207000,10312200,10353500,10271000,9911100,9935900,9912800,10132400,10397600,10539600,10598700,10596900,10388200,10479700,10486200,10380100,10170100,9969500,10104500,10357800,10606400,10788500,10857300,10760800,10606000,10525000,10711900,10618400,10330100,10208800,10320600,10559100,10818900,10997300,10997800,10926100,10736400,10835700,10834200,10760700,10448700,10303400,10362400,10583100,10897000,11052400,11106200,11089000,10965800,11058600,11104400,11067900,10758600,10682200,10904500,11037300,11324600,11396500,11433200,11422600,11355900,11363300,11391300,11372800,11058000,10958200,11136000,11229300,11416500,11583900,11621000,11615000,11506000,11574500,11580700,11547200,11338700,11150700,11329400,11386600,11582100,11704600,11758100,11726900,11708100,11729700,11724400,11708800,11483800,11302600,11535100,11660000,11843000,11882600,11947700,11910800,11874000,11902500,11905100,11875600,11630500,11471800,11563200,11806700,11955600,12038600,12072900,12037100,11994600,12031300,12025800,12036800,11683900,11662100,11755600,11928700
서울특별시(남),남자,2867000,2875000,2876000,2864000,2893000,2914000,2922000,2921000,2897500,2878500,2889700,2902200,2894000,2933800,2908200,2911100,2919100,2922800,2924200,2878500,2883900,2881600,2923000,2941300,2948900,2954000,2928300,2907700,2937700,2936100,2926300,2943400,2925000,2944500,2968600,2958100,2973200,2984500,2979400,2952000,2958600,2959700,2963300,2962600,2951700,2945100,2934100,2953400,2941700,2967100,2926900,2933700,2940800,2971300,2975400,2970300,2972300,2969700,2973500,2972100,2977700,2969400,2941700,2987800,3000900,2998700,3002700,3001700,2999400,3014100,3003600,3000700,2993700,2981200,2964400,2972000,2988100,3015700,3009200,2992400,2991100,3031600,3022600,3020400,3010100,3026600,2997500,3006800,3024200,3024000,3010700,3016300,3010000,3023200,3049100,3059500,3059800,3081700,3063900,3053700,3046500,3053300,3020500,3017400,3004200,3032000,3039000,3062000,3050800,3067600,3052600,3025900,3017300,3021300,2988000,2997800,2970600,3007300,3010600,3030400,3044200,3031400,2975500,2968700,2973000,3017300,3009400,3006700,3002700,3009900,3036400,3025500,3030000,3053800,3037700,3025900,3045100,3033700,3039800,3007000,3041400,3079300,3088700,3087100,3096500,3096400,3084100,3060800,3080800,3066300,3051800,3016900,3045200,3042800,3045300,3056700,3049900,3056400,3041300,3029000,3031100,3014700,2993000,2997000,2981300,3000800,3000400,3020400,3018600,3012400,3011500,3026800,3032600,3047200,3046900,3031000,3080600,3071400,3082400,3056700,3049500,3063200,3050300,3054000,3055900,3044400,3046600,3020300,3018600,3028500,3029000,3061300,3029200,3041200,3031400,3014600,2998100,3015700,3014900,2999000,2998900,2961500,2972600,3003100,3004200,3021100,3005000,3002700,3001600,3004500,2998200,2979700,3001800,2990800,3006000,3000000,2995100,3010700,2993500,2984000,2969000,2963800,2961600,2956000,2945700,2976300,2951500,2966000,2956100,2929300,2913800,2892800,2874100,2887800,2888400,2888900,2882300,2901300
서울특별시(여),여자,1990000,1996000,1945000,1984000,1987000,2000000,2001000,1994000,1986800,1973700,1968100,2026800,2009300,2035300,1991500,2040300,2017900,2027200,2043300,2038900,2016900,2036600,2063900,2062400,2031400,2042800,2024100,2073300,2077200,2100600,2065100,2073000,2056700,2079500,2078300,2074400,2083600,2078700,2028000,2043000,2053600,2063400,2068600,2063100,2070000,2070100,2067700,2101500,2113300,2110100,2062600,2102900,2104900,2128200,2122800,2150000,2179400,2178500,2189800,2169700,2171900,2174700,2138500,2210900,2193900,2204900,2206800,2169000,2175200,2210100,2207500,2227000,2241500,2228000,2189000,2212200,2242300,2238600,2243200,2245600,2234300,2217000,2234800,2231100,2256400,2228000,2214600,2230100,2266900,2287600,2258700,2255100,2208700,2215300,2251200,2270800,2256600,2260900,2233500,2270600,2289700,2285400,2255700,2256900,2238200,2270700,2269200,2262600,2273800,2266200,2252100,2245500,2241400,2234300,2222300,2215800,2177000,2223200,2235400,2222000,2237700,2231800,2186200,2198100,2208500,2226100,2221600,2223400,2235500,2236300,2285600,2316600,2303900,2316900,2269900,2282700,2290500,2285100,2307100,2282300,2311400,2319200,2330700,2365100,2373900,2360200,2319200,2298200,2309000,2320300,2307500,2305200,2334200,2343900,2381800,2400600,2397700,2373300,2315200,2331200,2284600,2279600,2282500,2280500,2299700,2313500,2342500,2359400,2363800,2357700,2321400,2338700,2359900,2359700,2371000,2344900,2386200,2374800,2393900,2402000,2393400,2408400,2384400,2397100,2407400,2412400,2396400,2377900,2376700,2355500,2364200,2373000,2376100,2375800,2371900,2359100,2349700,2351300,2357000,2350000,2385300,2346400,2355100,2397100,2392600,2369300,2364800,2380200,2400300,2380100,2368900,2346100,2399500,2386500,2398600,2403600,2438000,2432900,2440300,2435300,2416200,2410500,2387900,2385300,2398100,2404400,2411800,2415400,2425600,2425900,2416400,2418500,2402900,2403000,2370200,2355400,2353800,2373200
부산광역시(남),남자,1023000,1023000,1019000,1018000,1023000,1023000,1032000,1035000,1030100,1030700,1019100,1021700,1020800,1032000,1027200,1018000,1028700,1033600,1037400,1030100,1022900,1013800,1015200,1015700,1017300,1012700,1006400,996600,1004500,1020300,1031500,1039500,1034400,1016100,1020700,1022400,1019600,1042700,1028600,1026900,1018600,1020500,1024800,1012000,1003300,996700,993600,997000,987700,987500,973600,978500,987300,995500,1003800,995800,984200,988000,994300,997500,1002700,1011500,990200,996100,996600,994500,992200,990300,983900,982000,985200,991200,995300,996300,981300,982100,986100,978900,983300,979400,980500,990300,990000,999100,1001400,1005100,1004300,984200,995200,991400,976200,974300,973100,993200,987900,999100,997200,990800,981200,981900,983200,974000,961600,963200,967100,975800,973000,974400,984600,966400,963600,958500,950700,953400,962600,956200,947200,950100,960400,970400,978900,969500,959900,959700,960700,964900,965300,965900,958100,957900,958100,968000,957900,971000,952800,951200,950100,945200,951700,950400,957500,969200,966000,967800,987700,1000700,977500,963500,978400,983200,991100,985000,990000,988700,989100,990200,994300,994600,993700,989800,995500,1002800,1008100,1011700,1012600,1007600,1010600,1007500,1005700,1004200,1000400,990600,988600,997300,993800,1006700,1004000,1002500,1025100,1026500,1028700,1035800,1036900,1026700,1019700,1012900,1011600,1009100,1021100,1012700,1017000,1016800,1019900,1018100,998300,986800,984600,985200,980100,991700,1001700,993900,993000,1002800,1003800,1004600,1003200,996400,1004000,998900,991600,988500,997800,1001600,1004900,1007800,1018300,1014600,1017300,1008200,1003600,1001900,998300,992300,990800,997400,984100,987100,985100,975400,962700,960100,979600,971200,962600,951800,968400,977300
부산광역시(여),여자,715000,723000,714000,733000,731000,733000,734000,726400,738700,746000,730300,735100,728500,733600,722000,728000,729900,717100,720900,725600,721900,718300,728500,735400,737500,739200,717800,726800,737000,742500,743300,753800,763400,756300,770200,773400,763000,759200,750800,752300,749900,727000,723200,720300,702400,709100,707500,705400,695400,685900,679800,678500,687200,682500,688400,684800,702900,708000,715700,709800,712200,713500,703500,712500,710700,700100,712300,710000,717300,707800,699000,718700,717500,728500,705300,734200,734300,738500,715300,715100,721800,718300,713000,724600,725700,728600,706900,737800,727700,726300,725100,718500,720500,714400,736300,734700,745300,742600,715000,734100,716800,741100,733100,714600,706800,727400,731700,736500,731300,729800,707700,713200,706100,718800,722400,716900,708400,709100,704200,702100,712500,704400,681300,688500,698600,703100,709000,708800,699700,704300,707300,716400,715000,708700,692300,690100,692000,699100,691700,679700,681400,685800,695800,699400,705000,705500,711100,691800,727100,721100,719400,718900,722500,733200,734600,746000,752900,747700,730300,733900,730900,721200,726600,729700,725200,725600,742300,741100,748200,744300,726800,741300,735300,735800,711400,706300,708800,717700,738400,745100,754900,760400,753500,743500,750100,760000,743700,733300,756300,742300,750900,756800,744900,748000,735300,746400,765900,774300,764500,757900,773100,757100,771000,755400,750900,750200,754400,753100,739800,752800,751900,751000,772100,762900,772400,777800,774600,761100,756300,748700,744800,752700,748400,733500,738300,750700,744900,750900,760200,751800,747900,748700,756200,763100,747300,751000,756300,772400
대구광역시(남),남자,661000,664000,668000,675000,669000,666000,664000,661200,657400,660300,657100,671000,663500,671600,667800,670500,674400,672000,676700,661300,656000,668000,672200,679900,679000,680400,675300,683600,681900,693700,693900,696300,688100,686800,697500,699500,694100,695300,680100,693900,700100,695900,697500,687800,683200,688900,691800,688900,693300,692300,686500,681700,698600,701500,705600,697400,700100,698200,698400,704900,708000,709800,697500,699100,698600,702300,700600,697200,688100,690100,690600,694300,686900,696500,686700,678900,679900,676900,676700,668800,669000,681800,682900,683200,679400,679700,674400,682200,682800,682600,680000,678200,671100,671400,684800,682400,681300,688800,678300,678900,681900,682500,673100,679300,682000,682400,681800,682200,688500,690600,680800,676200,681800,693400,683400,679800,677400,685500,692100,699200,700200,700400,699800,697600,699500,694700,689400,698600,688300,690900,692500,696000,695900,698600,680600,686500,685700,690700,689200,689900,690300,692300,698500,700000,698400,705600,694400,689700,701000,702700,705600,704100,705200,709000,709900,714800,716600,720100,713100,708100,704900,701000,701100,703900,700900,700600,706800,702300,711500,713700,701500,705200,712000,716300,719900,724900,723700,726300,731900,723600,729600,732000,730000,728600,725300,728500,732000,735200,730000,727600,734000,737600,749900,743300,736400,743900,746600,747500,751500,740400,745200,748700,742800,750900,749200,747900,739500,731800,732300,729200,730600,730300,732500,732000,731600,725500,723300,717100,710600,709200,710500,720500,714000,697300,703500,705300,716700,729900,722600,720100,713700,718600,720200,712800,708800,705300,711500,722600
